unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1617732000,2021-04-06 19:00:00,BTC/USD,58261.89,58281.2,58005.81,58278.17,5584259.913,95.82078354,0
1617739200,2021-04-06 21:00:00,BTC/USD,58258.14,58329.89,58001.65,58252.9,7382090.07,126.724851,0
1617750000,2021-04-07 00:00:00,BTC/USD,57920.15,58251.38,57626.89,58018.3,3739613.246,64.45575355,0
1617757200,2021-04-07 02:00:00,BTC/USD,57671.53,58236.6,57210.51,57518.22,13745799.44,238.9816556,1
1617764400,2021-04-07 04:00:00,BTC/USD,57804.3,58133.83,57488.44,57909.43,4720344.168,81.5125303,1
1617771600,2021-04-07 06:00:00,BTC/USD,57646.63,58330.0,57255.98,58302.56,6569113.963,112.672822,0
1617778800,2021-04-07 08:00:00,BTC/USD,58062.0,58668.0,57450.0,57861.67,7723511.555,133.4823477,0
1617786000,2021-04-07 10:00:00,BTC/USD,57764.4,57931.02,57000.0,57465.47,17438942.21,303.4681906,0
1617789600,2021-04-07 11:00:00,BTC/USD,57487.86,57606.88,56612.26,56856.31,17260060.76,303.5733546,0
1617793200,2021-04-07 12:00:00,BTC/USD,56841.68,57200.55,55761.8,56317.92,41635984.79,739.3026018,1
1617796800,2021-04-07 13:00:00,BTC/USD,56289.21,56569.83,55600.0,56466.05,24266756.14,429.758344,1
1617800400,2021-04-07 14:00:00,BTC/USD,56453.92,56836.73,56353.8,56777.29,14343563.7,252.6285369,0
1617804000,2021-04-07 15:00:00,BTC/USD,56777.29,56967.47,56603.7,56686.06,12534790.05,221.1265,0
1617807600,2021-04-07 16:00:00,BTC/USD,56712.49,56896.27,56275.48,56434.13,10579846.77,187.4724882,1
1617811200,2021-04-07 17:00:00,BTC/USD,56456.4,56800.04,56204.27,56515.91,15339586.67,271.4206791,0
1617814800,2021-04-07 18:00:00,BTC/USD,56515.9,56564.39,55920.0,56012.53,12975660.32,231.656387,0
1617818400,2021-04-07 19:00:00,BTC/USD,56025.0,56428.6,55786.28,55839.19,21249300.69,380.5445725,1
1617822000,2021-04-07 20:00:00,BTC/USD,55832.62,56127.66,55441.93,56127.66,16276781.72,289.9957297,1
1617829200,2021-04-07 22:00:00,BTC/USD,56243.09,56401.4,55690.0,56199.64,15840275.2,281.8572361,0
1617836400,2021-04-08 00:00:00,BTC/USD,56449.54,56555.61,55871.86,55932.83,7021725.121,125.5385276,1
1617843600,2021-04-08 02:00:00,BTC/USD,56397.11,56683.59,55680.4,56498.81,10882456.24,192.6139017,1
1617850800,2021-04-08 04:00:00,BTC/USD,56497.0,56644.99,56176.77,56548.97,5507921.109,97.40090949,1
1617854400,2021-04-08 05:00:00,BTC/USD,56538.58,57067.42,56520.0,56894.91,10982815.45,193.0368719,0
1617858000,2021-04-08 06:00:00,BTC/USD,56911.86,57047.68,56790.0,56849.36,11590209.8,203.8758185,1
1617865200,2021-04-08 08:00:00,BTC/USD,57112.31,57313.18,56845.78,57010.0,10746775.16,188.5068436,0
1617872400,2021-04-08 10:00:00,BTC/USD,56872.66,57260.0,56590.0,56641.38,4860420.545,85.81041891,0
1617879600,2021-04-08 12:00:00,BTC/USD,56740.73,56850.76,56349.17,56450.0,5787058.737,102.516541,1
1617883200,2021-04-08 13:00:00,BTC/USD,56403.95,57490.01,56350.0,57448.48,37988314.42,661.2588256,0
1617886800,2021-04-08 14:00:00,BTC/USD,57465.83,57650.0,57263.01,57441.41,36046242.53,627.5306008,1
1617890400,2021-04-08 15:00:00,BTC/USD,57434.62,57911.0,57371.03,57699.17,17976562.76,311.5566959,1
1617897600,2021-04-08 17:00:00,BTC/USD,57781.68,57950.0,57563.71,57756.81,11050641.46,191.3305368,1
1617904800,2021-04-08 19:00:00,BTC/USD,57743.86,58145.49,57560.94,57905.04,21987972.8,379.7246803,0
1617912000,2021-04-08 21:00:00,BTC/USD,57729.0,58000.0,57581.22,57680.12,6455502.543,111.9190207,1
1617922800,2021-04-09 00:00:00,BTC/USD,57917.27,58139.68,57450.52,58096.6,2913881.932,50.1558083,0
1617930000,2021-04-09 02:00:00,BTC/USD,58308.0,58400.0,57949.35,57972.51,8662977.714,149.4325106,1
1617937200,2021-04-09 04:00:00,BTC/USD,57932.4,58203.14,57832.79,58010.68,4430590.201,76.37542262,0
1617948000,2021-04-09 07:00:00,BTC/USD,57950.0,58316.86,57822.9,57833.39,8167416.107,141.2231949,0
1617955200,2021-04-09 09:00:00,BTC/USD,58050.0,58079.5,57657.43,57754.05,5745804.383,99.48747115,1
1617962400,2021-04-09 11:00:00,BTC/USD,57885.25,58631.0,57743.13,58602.15,10545307.55,179.9474515,0
1617969600,2021-04-09 13:00:00,BTC/USD,58531.47,58890.25,58341.2,58493.84,11196300.91,191.4099145,0
1617973200,2021-04-09 14:00:00,BTC/USD,58493.84,58776.15,58308.0,58426.93,10499332.33,179.7002226,0
1617976800,2021-04-09 15:00:00,BTC/USD,58401.04,58534.82,58026.81,58343.44,16335827.19,279.9942408,0
1617980400,2021-04-09 16:00:00,BTC/USD,58339.58,58370.67,58039.91,58214.63,10027066.7,172.2430719,1
1617991200,2021-04-09 19:00:00,BTC/USD,58381.96,58510.38,57858.0,58388.08,2367995.469,40.55614552,0
1618002000,2021-04-09 22:00:00,BTC/USD,58338.16,58615.55,58185.0,58361.46,3793816.496,65.00551042,1
1618020000,2021-04-10 03:00:00,BTC/USD,58407.0,58700.0,57840.76,58700.0,3566816.091,60.76347685,1
1618027200,2021-04-10 05:00:00,BTC/USD,59198.0,61072.84,58699.99,60964.23,57235798.0,938.8423015,0
1618030800,2021-04-10 06:00:00,BTC/USD,60980.22,61222.22,60565.07,60770.05,20757130.84,341.5684344,0
1618034400,2021-04-10 07:00:00,BTC/USD,60800.0,60951.81,60468.88,60546.8,12599326.67,208.0923628,0
1618038000,2021-04-10 08:00:00,BTC/USD,60552.46,60799.62,60359.34,60441.26,12536088.78,207.4094548,1
1618045200,2021-04-10 10:00:00,BTC/USD,60519.91,60788.81,60400.0,60716.41,7024165.233,115.6880855,0
1618056000,2021-04-10 13:00:00,BTC/USD,60525.27,60959.42,59791.97,60034.6,10698364.31,178.2033079,1
1618063200,2021-04-10 15:00:00,BTC/USD,60467.81,60484.28,59942.05,60381.13,3913290.329,64.80982268,0
1618070400,2021-04-10 17:00:00,BTC/USD,60235.24,60514.89,60064.63,60203.72,7972562.599,132.4264115,0
1618077600,2021-04-10 19:00:00,BTC/USD,60043.84,60205.61,59534.15,59968.46,11736464.57,195.7106214,0
1618084800,2021-04-10 21:00:00,BTC/USD,59536.96,59967.18,58304.8,58541.17,13990278.1,238.981867,1
1618092000,2021-04-10 23:00:00,BTC/USD,59160.96,59375.05,58459.36,59011.75,4856244.96,82.29284778,1
1618099200,2021-04-11 01:00:00,BTC/USD,59773.19,60392.5,59026.01,60112.83,9434306.123,156.9433035,1
1618110000,2021-04-11 04:00:00,BTC/USD,60483.5,60679.0,60003.25,60234.28,3321244.793,55.13878133,0
1618117200,2021-04-11 06:00:00,BTC/USD,59869.45,60293.61,59508.86,59589.81,8235865.284,138.2092892,1
1618128000,2021-04-11 09:00:00,BTC/USD,59630.05,60094.04,59286.42,59922.49,4497844.436,75.06104029,0
1618142400,2021-04-11 13:00:00,BTC/USD,59698.26,60005.44,59386.28,59681.05,3713272.247,62.21861457,0
1618153200,2021-04-11 16:00:00,BTC/USD,59528.65,59720.42,59165.15,59609.58,3912920.59,65.64247877,1
1618167600,2021-04-11 20:00:00,BTC/USD,59830.87,60159.38,59350.82,59661.24,6033755.964,101.1335997,1
1618178400,2021-04-11 23:00:00,BTC/USD,59545.66,60079.05,59386.42,60072.52,9325963.927,155.2450926,0
1618189200,2021-04-12 02:00:00,BTC/USD,59784.43,60313.0,59563.99,59824.47,7987804.979,133.5206978,0
1618192800,2021-04-12 03:00:00,BTC/USD,59817.43,59897.84,59550.0,59642.06,11081498.0,185.8000545,1
1618196400,2021-04-12 04:00:00,BTC/USD,59638.24,60430.43,59630.0,60334.91,10955005.25,181.5699277,0
1618203600,2021-04-12 06:00:00,BTC/USD,60092.87,60578.4,59990.14,60175.2,3541257.894,58.84912546,1
1618207200,2021-04-12 07:00:00,BTC/USD,60182.79,60834.56,60078.64,60784.2,19666721.44,323.5498935,0
1618210800,2021-04-12 08:00:00,BTC/USD,60814.31,61234.56,60636.78,60673.87,15355642.3,253.0849326,0
1618214400,2021-04-12 09:00:00,BTC/USD,60663.6,60800.11,60500.0,60657.97,11098305.25,182.965326,0
1618218000,2021-04-12 10:00:00,BTC/USD,60689.32,60831.78,59632.98,59918.37,12450489.66,207.7908604,1
1618225200,2021-04-12 12:00:00,BTC/USD,59752.5,60249.01,59361.11,60219.55,8610284.446,142.9815475,1
1618232400,2021-04-12 14:00:00,BTC/USD,60426.48,60595.23,60123.26,60310.08,19983242.68,331.3416708,0
1618239600,2021-04-12 16:00:00,BTC/USD,59836.03,60330.84,59605.0,59997.46,8116145.316,135.2748152,0
1618243200,2021-04-12 17:00:00,BTC/USD,59999.59,60100.0,59700.0,59949.74,11350154.93,189.3278425,0
1618250400,2021-04-12 19:00:00,BTC/USD,59700.0,59969.04,59645.1,59927.3,6376162.733,106.3982982,1
1618257600,2021-04-12 21:00:00,BTC/USD,60044.47,60200.0,59843.28,59950.0,6161225.038,102.7727279,1
1618264800,2021-04-12 23:00:00,BTC/USD,59969.61,60060.74,59706.39,60041.1,7153249.411,119.1392132,1
1618272000,2021-04-13 01:00:00,BTC/USD,59814.87,60453.42,59780.0,60431.38,9267356.916,153.3533889,1
1618275600,2021-04-13 02:00:00,BTC/USD,60413.61,60732.67,60177.56,60587.7,11874362.3,195.986352,1
1618279200,2021-04-13 03:00:00,BTC/USD,60638.83,60932.74,60528.43,60783.56,13350334.64,219.6372612,0
1618282800,2021-04-13 04:00:00,BTC/USD,60790.0,61066.96,60300.0,60338.99,33863980.55,561.2288264,1
1618286400,2021-04-13 05:00:00,BTC/USD,60350.0,60611.62,60280.0,60538.91,11228060.59,185.4684961,1
1618293600,2021-04-13 07:00:00,BTC/USD,60636.0,61376.0,60422.65,60712.22,17254799.56,284.2063683,1
1618300800,2021-04-13 09:00:00,BTC/USD,61050.0,62741.44,60573.81,62657.21,46390294.21,740.3823791,1
