unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,next close,awesomeOscillator,percentageOscillator,momentumStochRSI,ultimateOscillator,avgTrueRange,mAVG,ADX,MACD,weightedAVG,close_copy
1582880400,2020-02-28 10:00:00,BTC/USD,8703.23,8900.5,8578.0,8597.07,3757271.88,433.96,8510.01,-498.1447058823524,-2.571245257253898,0.5577854043358469,-28.416570256586397,83.54501067227328,9022.1995,36.26866158826777,-233.94561133988643,8772.886666666667,8597.07
1582891200,2020-02-28 13:00:00,BTC/USD,8573.77,8646.77,8421.49,8510.01,7175770.28,845.17,8705.9,-524.8475882352941,-2.704620300833549,0.4495394574205287,-51.55225222636919,81.1275099099681,8970.858,37.53158574426004,-244.901723164985,8720.278888888888,8510.01
1582902000,2020-02-28 16:00:00,BTC/USD,8657.29,8719.75,8480.97,8705.9,2436971.53,281.15,8571.34,-545.5825882352947,-2.603454624515174,0.913301881079223,-23.130669435264583,90.31411634497036,8924.277,37.965934625544605,-235.0681159263568,8712.952,8705.9
1582916400,2020-02-28 20:00:00,BTC/USD,8543.42,8728.67,8492.08,8571.34,1394813.34,163.0,8729.43,-557.403117647058,-2.6171692200178533,0.7268625973601881,-37.741611820098136,85.48953660604393,8882.8375,38.27938964063971,-235.4190149168753,8678.093111111111,8571.34
1582945200,2020-02-29 04:00:00,BTC/USD,8732.1,8806.26,8560.13,8729.43,1538806.53,176.26,8659.3,-548.7702941176467,-2.4555747950348654,1.0,-22.24964288997282,96.16314113418365,8853.685500000001,37.79926865783461,-220.39992991039435,8680.055333333334,8729.43
1582988400,2020-02-29 16:00:00,BTC/USD,8631.92,8805.06,8580.65,8659.3,1288655.43,148.87,8608.47,-540.8780000000006,-2.3649899757526804,0.8926589725344666,-17.664127920398588,94.69648819602762,8817.595,37.35960975975395,-211.7155763593273,8668.238444444445,8659.3
1583031600,2020-03-01 04:00:00,BTC/USD,8634.07,8684.79,8499.19,8608.47,379800.92,43.97,8578.32,-502.8269411764704,-2.313907432820339,0.8146486207543678,-37.180031952162416,89.75316761059719,8788.469000000001,37.53654046778501,-206.55369735083696,8648.85688888889,8608.47
1583064000,2020-03-01 13:00:00,BTC/USD,8648.37,8756.11,8515.0,8578.32,4105412.8,473.56,8491.29,-460.24788235294,-2.275753852377851,0.6687511518442465,-9.351227041890164,93.88794135269748,8758.7255,36.99068838496383,-202.5607300666816,8630.368222222221,8578.32
1583082000,2020-03-01 18:00:00,BTC/USD,8520.43,8631.99,8446.0,8491.29,2339219.98,275.52,8528.95,-438.6400588235301,-2.3005117739595087,0.4744188977819041,-14.18543017966411,91.01523125607623,8719.8635,37.07262403634122,-204.0665166096751,8598.456888888888,8491.29
1583103600,2020-03-02 00:00:00,BTC/USD,8547.97,8580.0,8410.0,8528.95,993656.9,116.2,8623.0,-442.0632352941175,-2.2601733028399167,0.5780357689462579,-25.67848407491101,90.85057188064216,8695.2575,37.371272894272536,-199.91650302814924,8583.110666666667,8528.95
